id,name
1252,Permanent Maroon
1305,Quin Magenta
1562,Light Magenta
1200,Mars Black
1290,Quin Crimson
1450,Alizarin Crimson Hue
1330,Quin Violet
1310,Quin Red
1320,Quin Red Light
1080,Cad Red Dark
1510,Primary Magenta
1405,Violet Oxide
1280,Quin Burnt Orange
1150,Dioxazine Purple
1040,Carbon Black
1278,Pyrrole Red Dark
1100,Cad Red Medium
1220,Napthol Red Medium
1277,Pyrrole Red
1552,Cadmium Red Medium Hue
1385,Transparent Red Iron Oxide
1279,Pyrrole Red Light
1210,Napthol red Light
1090,Cad red Light
1360,Red Oxide
1445,N5 Neutral Gray
1020,Burnt Sienna
1383,Transparent Brown Iron Oxide
1276,Pyrrole Orange
1035,Burnt Umber Light
1403,Vat Orange
1301,Quin Nickel Azo
1576,Titan Mars Pale
1030,Burnt Umber
1202,Mars yellow
1575,Light Orange
1160,Graphite Gray
1070,Cadmium Orange
1462,Van Dyke Brown Hue
1446,N6 Neutral Gray
1455,Indian Yellow Hue
1340,Raw Sienna
1407,Yellow Ochre
1350,Raw Umber
1386,Transparent Yellow Iron Oxide
1225,Nickel Azo Yellow
1147,Diarylide Yellow
1447,N7 Neutral Gray
1410,Yellow Oxide
1110,Cad Yellow Dark
1459,Naples Yellow Hue
1190,Hansa Yellow Medium
1554,Cadmium Yellow Medium Hue
1008,Benzimidazolone Yellow Medium
1130,Cad Yellow Medium
1191,Hansa Yellow Opaque
1370,Titan Buff
1530,Primary Yellow
1009,Benzimidazolone Yellow Light
1120,Cadmium Yellow Light
1180,Hansa Yellow Light
1007,Bismuth Vanadate Yellow
1380,Titanium White
1135,Cad Yellow Primrose
1375,Titanate Yellow
1574,Light Bismuth Yellow
1448,N8 Neutral Gray
1170,Green Gold
1371,Titan Green Pale
1415,Zinc White
1560,Light Green (Yellow Shade)
1060,Chromium Oxide
1468,Terre Verte Hue
1461,Sap Green Hue
1061,Chromium Oxide Dark
1558,Light Green (Blue Shade)
1250,Perm Green Light
1142,Cobalt Green
1578,Light Phthalo Green
1195,Jenkins Green
1469,Viridian Green Hue
1564,Light Turquois (Phthalo)
1275,Phthalo Green YS
1145,Cobalt Teal
1454,Hookers Green Hue
1144,Cobalt Turquoise
1369,Teal
1270,Phthalo Green BS
1577,Light Phthalo Blue
1051,Cerulean Blue Deep
1457,Manganese Blue Hue
1464,Azurite Hue
1050,Cerulean Blue Chromium
1390,Turquoise
1442,N2 Neutral Gray
1566,Light Ultramarine Blue
1500,Primary Cyan
1240,Paynes Gray
1444,N4 Neutral Gray
1467,Smalt Hue
1443,N3 Neutral Gray
1010,Bone Black
1556,Cobalt Blue Hue
1140,Cobalt Blue
1400,Ultramarine Blue
1568,Light Violet
1401,Ultramarine Violet
1255,Phthalo Blue GS
1260,Phthalo Blue RS
1460,Prussian Blue Hue
1005,Anthraquinone Blue
1572,Medium Violet
1253,Permanent Violet Dark
1570,Medium Magenta
1573,Titan Violet Pale
1465,Cobalt Violet Hue
